магазин японских презервативов,55.885548,37.602339
Аптека Мосфарм,55.83385379999999,37.9309029999999
Аптека,55.819717000000004,37.4947211
Аптека Мичурино,55.6870195,37.4655331
Самсон-Фарма,55.6385313,37.6664349
Здоров.ру,55.6116502,37.7203216
А5 аптека (№ 59),55.8752277,37.535309999999996
Аптека Вербена,55.8206725,37.660164200000104
Столичные аптеки,55.63543570000001,37.79561029999999
Аптека СТОЛИЧКИ,55.7382184,37.4723891
,55.639948600000004,37.3291019000001
Аптека,55.895301399999994,37.5734645
Аптека,55.8321425,37.5131851
Еаптека,55.7086061,37.6584067
Дежурная Аптека,55.883733299999996,37.5389574000001
"Аптека 36,6",55.824178599999996,37.4973734
Аптека,55.818174,37.713524
Аптека,55.809362,37.4542759
Аптека,55.70730699999999,37.6806340000001
"Аптека 36,6",55.792192099999994,37.6230356
"Аптека 36,6",55.847026,37.6663596
Аптека,55.70494,37.5796639
Ригла,55.685873,37.547901
Аптеки Столички,55.70306120000001,37.5705167
Пульс,55.707338,37.58251
"Аптека 36,6",55.69797679999999,37.5603846
Горздрав,55.7030006,37.5803352
Ригла,55.68633199999999,37.5417973
Аптека Горздрав,55.6894025,37.5463151
"Аптека 36,6",55.6831839,37.549442299999995
аптека,55.7087312,37.5790024
Самсон-Фарма,55.6517088,37.489069
ГБУЗ «ЦЛО ДЗМ». Аптеки столицы.,55.676824100000005,37.52755379999999
Гомеопатическая Аптека Ганнеман,55.690898,37.552049100000005
Адонисфарм,55.728825,37.611222999999995
Да Здоров!,55.669028000000004,37.5190921
Столичные аптеки,55.719887899999996,37.597604499999996
Наша аптека,55.725765,37.605636
Аптека Ригла,55.7183574,37.595414
Аптека Семейная,55.6927035,37.574464500000005
Дежурные аптеки,55.689166,37.5754717
Горздрав,55.690723,37.576006
Аптека,55.70587220000001,37.5815929
Ркм+3К Аптечный Пункт,55.692763600000006,37.5747968000001
Аптека,55.688763,37.5756730000001
НЕОФАРМ,55.688581000000006,37.5752271
Медбиолайн ООО,55.7101206,37.5991089
Аптека,55.710216,37.590753899999996
Медиофарм,55.709872999999995,37.5999707999999
Медбиолайн,55.7233505,37.6481563
Медбиолайн,55.76886700000001,37.573074
Медбиолайн,55.68569,37.562250899999995
